what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393121568524
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1393121568633
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1393121568692
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1393121572973
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1393121576318
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1393121576323
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393121595283
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1393121698467
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393121699565
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1393121699572
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1393121701343
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1393121701566
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1393121701694
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1393121701951
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393121706456
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393121706513
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393121707054
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393121757800
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1393121759007
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1393121759841
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1393121760165
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393121761165
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393121770603
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1393121771637
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393121774812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393121777112
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393121784511
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393121794956
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1393121797101
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1393121797487
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1393121814629
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1393121814917
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1393121815056
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393121819964
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1393121826714
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1393121827205
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1393121842039
